Series Name,Series Code,Country Name,Country Code,2018 [YR2018],2019 [YR2019]
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Afghanistan,AFG,0.626149149168983,2.30237251516819
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Albania,ALB,2.02805963071136,1.41109078954246
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Algeria,DZA,4.26999020467084,1.95176821052892
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,American Samoa,ASM,..,..
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Andorra,AND,..,..
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Angola,AGO,19.6289379701521,17.080954143438
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Antigua and Barbuda,ATG,1.20715793367008,1.43135598182984
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Argentina,ARG,..,..
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Armenia,ARM,2.52023382001638,1.44344660770698
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Aruba,ABW,3.62604141352961,4.25746204335428
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Australia,AUS,1.91140094445691,1.61076787290379
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Austria,AUT,1.9983798142954,1.53089564152644
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Azerbaijan,AZE,2.26854690373999,2.61057182799215
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,"Bahamas, The",BHS,2.26586346678736,2.49123527368046
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Bahrain,BHR,2.08766938046978,1.00582004702137
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Bangladesh,BGD,5.54362139486476,5.59199639930629
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Barbados,BRB,3.67381410406801,4.10028964518461
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Belarus,BLR,4.87230220550684,5.59815595039854
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Belgium,BEL,2.05316499865186,1.43681956996429
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Belize,BLZ,0.269982622646335,0.187069385181424
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Benin,BEN,0.919170717886054,0.732849371240975
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Bermuda,BMU,..,..
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Bhutan,BTN,2.7239638618372,2.7264303738882
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Bolivia,BOL,2.27205987230155,1.83954504969026
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Bosnia and Herzegovina,BIH,..,..
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Botswana,BWA,3.23801558947715,2.77286442863321
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Brazil,BRA,3.66485028376729,3.73297621216894
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,British Virgin Islands,VGB,..,..
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Brunei Darussalam,BRN,1.02505179290212,-0.390522069165529
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Bulgaria,BGR,2.81454473824829,3.10372944796781
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Burkina Faso,BFA,1.95594302672523,-3.2333893398333
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Burundi,BDI,-2.81469807668465,-0.686772170797359
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Cabo Verde,CPV,1.25699566690509,1.10666674296063
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Cambodia,KHM,2.45908515380146,1.94257500833107
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Cameroon,CMR,1.0688581131292,2.45280214062732
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Canada,CAN,2.26822567248103,1.94926902411593
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Cayman Islands,CYM,..,..
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Central African Republic,CAF,1.61215686991555,2.68537355266787
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Chad,TCD,4.27462198610545,-0.971939175419317
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Channel Islands,CHI,..,..
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Chile,CHL,2.43488981353057,2.55754475703327
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,China,CHN,2.07479039965576,2.89923416358227
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Colombia,COL,3.24056932930569,3.52301932741447
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Comoros,COM,..,..
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,"Congo, Dem. Rep.",COD,..,..
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,"Congo, Rep.",COG,1.15277896375523,2.20607305781525
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Costa Rica,CRI,2.22111461526581,2.09604635327807
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Cote d'Ivoire,CIV,0.359409031380677,-1.10686343994188
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Croatia,HRV,1.50012501041756,0.771820346498019
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Cuba,CUB,..,..
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Curacao,CUW,2.58368756641814,2.62220783425059
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Cyprus,CYP,1.43549119531759,0.250370996758493
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Czechia,CZE,2.14949494949493,2.8478759591805
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Denmark,DNK,0.813609467455631,0.75813157251162
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Djibouti,DJI,0.14797084987711,3.31925372703827
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Dominica,DMA,0.98919111918989,1.50462353858141
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Dominican Republic,DOM,3.56443426013508,1.81060377042959
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Ecuador,ECU,-0.224103246005552,0.266012515466155
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,"Egypt, Arab Rep.",EGY,14.4014657807422,9.15279959324804
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,El Salvador,SLV,1.09033000581892,0.0753241350024612
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Equatorial Guinea,GNQ,1.06007410662171,1.53027528964189
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Eritrea,ERI,..,..
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Estonia,EST,3.43632688420446,2.27725931243522
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Ethiopia,ETH,13.8330356586661,15.8096321719344
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Faroe Islands,FRO,..,..
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Fiji,FJI,4.08147637644526,1.77310182460282
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Finland,FIN,1.08382098409305,1.02409392963431
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,France,FRA,1.85081508315502,1.10825492288294
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,French Polynesia,PYF,..,..
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Gabon,GAB,4.74906652083221,2.46456756151187
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,"Gambia, The",GMB,6.52096823946573,7.11567625631192
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Georgia,GEO,2.6152447139767,4.85289821696723
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Germany,DEU,1.73216879766942,1.44565976888253
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Ghana,GHA,7.80876516610703,7.14364003330857
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Gibraltar,GIB,..,..
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Greece,GRC,0.62562141345364,0.253007522038157
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Greenland,GRL,..,..
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Grenada,GRD,0.804102313277033,0.598149764736022
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Guam,GUM,..,..
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Guatemala,GTM,3.75186186704508,3.69998398008605
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Guinea,GIN,9.82761701259191,9.47001039253012
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Guinea-Bissau,GNB,0.381324702791081,0.24660026814783
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Guyana,GUY,1.28284288443528,2.08723089162013
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Haiti,HTI,12.4814111170435,18.7037825672506
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Honduras,HND,4.34734937777528,4.36587159819267
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,"Hong Kong SAR, China",HKG,2.40613432046534,2.88320853773996
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Hungary,HUN,2.85024792594646,3.33858635382008
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Iceland,ISL,2.68291768267392,3.01397179156053
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,India,IND,3.9388264669163,3.72950573539129
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Indonesia,IDN,3.1983464156241,3.03058664969487
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,"Iran, Islamic Rep.",IRN,18.0141183371874,39.9073455697784
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Iraq,IRQ,0.367441488936849,-0.198965380023928
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Ireland,IRL,0.471130713712916,0.937842961189274
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Isle of Man,IMN,..,..
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Israel,ISR,0.794075660242718,0.84978312826417
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Italy,ITA,1.13748763600391,0.611246943765304
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Jamaica,JAM,3.73663882152163,3.90510000865872
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Japan,JPN,0.989094598021848,0.46877615938395
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Jordan,JOR,4.46231108475481,0.761514047265601
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Kazakhstan,KAZ,6.16366247577751,5.33356098916669
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,Kenya,KEN,4.6898064677633,5.23963795764792
