Series Name,Series Code,Country Name,Country Code,2021 [2021],2022 [2022],2023 [2023],2024 [2024],2025 [2025],2026 [2026]
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Advanced economies,AME,5.5,2.5999999,1.5,1.5,1.7,1.8
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Afghanistan,AFG,-20.700001,-6.1999998,..,..,..,..
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Albania,ALB,8.8999996,4.9000001,3.3,3.3,3.4000001,3.5
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Algeria,DZA,3.8,3.5999999,4.0999999,2.9000001,3.7,3.2
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Angola,AGO,1.2,3,0.89999998,2.9000001,2.5999999,2.4000001
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Argentina,ARG,10.7,5,-1.6,-3.5,5,4.5
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Armenia,ARM,5.8000002,12.6,8.6999998,5.5,4.9000001,4.5
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Azerbaijan,AZE,5.5999999,4.5999999,1.1,2.3,2.4000001,2.4000001
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,"Bahamas, The",BHS,15.4,10.8,2.5999999,2.3,1.8,1.6
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Bahrain,BHR,2.5999999,5.1999998,2.5999999,3.5,3.3,3.4000001
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Bangladesh,BGD,6.9000001,7.0999999,5.8000002,5.5999999,5.6999998,5.9000001
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Barbados,BRB,-1.2,13.5,4.4000001,3.7,2.8,2.3
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Belarus,BLR,2.4000001,-4.6999998,3.9000001,1.2,0.69999999,0.5
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Belize,BLZ,17.9,8.6999998,4.6999998,3.4000001,2.5,2.4000001
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Benin,BEN,7.1999998,6.3000002,5.8000002,6,6,6
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Bhutan,BTN,-3.3,4.8000002,4.5999999,4.9000001,5.6999998,6
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Bolivia,BOL,6.0999999,3.5999999,3.0999999,1.4,1.5,1.5
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Bosnia and Herzegovina,BIH,7.4000001,4.1999998,1.7,2.5999999,3.3,4
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Botswana,BWA,11.8,5.8000002,3.3,3.5,4.3000002,4
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Brazil,BRA,4.8000002,3,2.9000001,2,2.2,2
"GDP growth, constant (average 2010-19 prices and exchange rates)",NYGDPMKTPKDZ,Bulgaria,BGR,7.6999998,3.9000001,1.8,2.0999999,3.0999999,2.7
